Model Params: 30.03M
Trainable Params: 30.025M
Epoch:[1/1](1280/5000), loss: 5.5114, logits_loss: 5.5114, aux_loss: 0.0000, lr: 0.00017243, epoch_time: 201.0min
Epoch:[1/1](1300/5000), loss: 5.5869, logits_loss: 5.5869, aux_loss: 0.0000, lr: 0.00017161, epoch_time: 198.0min
Epoch:[1/1](1320/5000), loss: 5.1323, logits_loss: 5.1323, aux_loss: 0.0000, lr: 0.00017078, epoch_time: 194.0min
Epoch:[1/1](1340/5000), loss: 5.6572, logits_loss: 5.6572, aux_loss: 0.0000, lr: 0.00016994, epoch_time: 191.0min
Epoch:[1/1](1360/5000), loss: 5.5252, logits_loss: 5.5252, aux_loss: 0.0000, lr: 0.00016909, epoch_time: 188.0min
Epoch:[1/1](1380/5000), loss: 5.1225, logits_loss: 5.1225, aux_loss: 0.0000, lr: 0.00016824, epoch_time: 184.0min
Epoch:[1/1](1400/5000), loss: 5.1672, logits_loss: 5.1672, aux_loss: 0.0000, lr: 0.00016737, epoch_time: 181.0min
Epoch:[1/1](1420/5000), loss: 4.9312, logits_loss: 4.9312, aux_loss: 0.0000, lr: 0.00016649, epoch_time: 178.0min
Epoch:[1/1](1440/5000), loss: 5.4663, logits_loss: 5.4663, aux_loss: 0.0000, lr: 0.00016561, epoch_time: 175.0min
Epoch:[1/1](1460/5000), loss: 5.0708, logits_loss: 5.0708, aux_loss: 0.0000, lr: 0.00016471, epoch_time: 173.0min
Epoch:[1/1](1480/5000), loss: 4.8449, logits_loss: 4.8449, aux_loss: 0.0000, lr: 0.00016381, epoch_time: 170.0min
Epoch:[1/1](1500/5000), loss: 5.0735, logits_loss: 5.0735, aux_loss: 0.0000, lr: 0.00016290, epoch_time: 167.0min
Epoch:[1/1](1520/5000), loss: 5.0630, logits_loss: 5.0630, aux_loss: 0.0000, lr: 0.00016198, epoch_time: 164.0min
Epoch:[1/1](1540/5000), loss: 5.0067, logits_loss: 5.0067, aux_loss: 0.0000, lr: 0.00016105, epoch_time: 162.0min
Epoch:[1/1](1560/5000), loss: 4.9702, logits_loss: 4.9702, aux_loss: 0.0000, lr: 0.00016012, epoch_time: 159.0min
Epoch:[1/1](1580/5000), loss: 4.8824, logits_loss: 4.8824, aux_loss: 0.0000, lr: 0.00015918, epoch_time: 157.0min
Epoch:[1/1](1600/5000), loss: 5.1326, logits_loss: 5.1326, aux_loss: 0.0000, lr: 0.00015822, epoch_time: 155.0min
Epoch:[1/1](1620/5000), loss: 4.6239, logits_loss: 4.6239, aux_loss: 0.0000, lr: 0.00015727, epoch_time: 152.0min
Epoch:[1/1](1640/5000), loss: 5.1555, logits_loss: 5.1555, aux_loss: 0.0000, lr: 0.00015630, epoch_time: 150.0min
Epoch:[1/1](1660/5000), loss: 5.3596, logits_loss: 5.3596, aux_loss: 0.0000, lr: 0.00015533, epoch_time: 148.0min
Epoch:[1/1](1680/5000), loss: 5.0999, logits_loss: 5.0999, aux_loss: 0.0000, lr: 0.00015435, epoch_time: 146.0min
Epoch:[1/1](1700/5000), loss: 4.9902, logits_loss: 4.9902, aux_loss: 0.0000, lr: 0.00015336, epoch_time: 143.0min
Epoch:[1/1](1720/5000), loss: 4.8774, logits_loss: 4.8774, aux_loss: 0.0000, lr: 0.00015236, epoch_time: 141.0min
Epoch:[1/1](1740/5000), loss: 4.8733, logits_loss: 4.8733, aux_loss: 0.0000, lr: 0.00015136, epoch_time: 139.0min
Epoch:[1/1](1760/5000), loss: 4.5818, logits_loss: 4.5818, aux_loss: 0.0000, lr: 0.00015035, epoch_time: 137.0min
Epoch:[1/1](1780/5000), loss: 4.5442, logits_loss: 4.5442, aux_loss: 0.0000, lr: 0.00014934, epoch_time: 135.0min
Epoch:[1/1](1800/5000), loss: 4.9042, logits_loss: 4.9042, aux_loss: 0.0000, lr: 0.00014832, epoch_time: 134.0min
Epoch:[1/1](1820/5000), loss: 4.8004, logits_loss: 4.8004, aux_loss: 0.0000, lr: 0.00014729, epoch_time: 132.0min
Epoch:[1/1](1840/5000), loss: 5.0751, logits_loss: 5.0751, aux_loss: 0.0000, lr: 0.00014626, epoch_time: 130.0min
Epoch:[1/1](1860/5000), loss: 5.2482, logits_loss: 5.2482, aux_loss: 0.0000, lr: 0.00014522, epoch_time: 128.0min
Epoch:[1/1](1880/5000), loss: 4.8325, logits_loss: 4.8325, aux_loss: 0.0000, lr: 0.00014418, epoch_time: 126.0min
Epoch:[1/1](1900/5000), loss: 4.8580, logits_loss: 4.8580, aux_loss: 0.0000, lr: 0.00014313, epoch_time: 125.0min
Epoch:[1/1](1920/5000), loss: 4.8566, logits_loss: 4.8566, aux_loss: 0.0000, lr: 0.00014208, epoch_time: 123.0min
Epoch:[1/1](1940/5000), loss: 4.8836, logits_loss: 4.8836, aux_loss: 0.0000, lr: 0.00014102, epoch_time: 121.0min
Epoch:[1/1](1960/5000), loss: 5.0396, logits_loss: 5.0396, aux_loss: 0.0000, lr: 0.00013995, epoch_time: 120.0min
Epoch:[1/1](1980/5000), loss: 4.7466, logits_loss: 4.7466, aux_loss: 0.0000, lr: 0.00013888, epoch_time: 118.0min
Epoch:[1/1](2000/5000), loss: 5.1326, logits_loss: 5.1326, aux_loss: 0.0000, lr: 0.00013781, epoch_time: 116.0min
