precision: device_type=cpu requested_dtype=fp32 effective_dtype=float32
Model Params: 64.21M
Trainable Params: 64.205M
packed: /Users/leonskennedy/AI coding open/侧端大模型/lab/data/v3/packed_B n_seq=500251 seq_len=512 tokenizer_sha256=ff99beb3a8ea206d… doc_order_sha256=7d204f346dc15680…
packed run: total_updates=7339 tokens_per_update=16352 total_tokens_requested=120000000 schedule=wsd
update [5900/7339] lr=0.00020000 loss_nats_per_target=3.1028 bpb=0.9837 grad_norm=0.7460 tokens_cum=96476800/120000000
update [6000/7339] lr=0.00020000 loss_nats_per_target=2.8287 bpb=0.8414 grad_norm=0.7068 tokens_cum=98112000/120000000
update [6100/7339] lr=0.00020000 loss_nats_per_target=2.9695 bpb=0.8745 grad_norm=0.7249 tokens_cum=99747200/120000000
update [6200/7339] lr=0.00020000 loss_nats_per_target=2.8922 bpb=0.9244 grad_norm=0.7252 tokens_cum=101382400/120000000
update [6300/7339] lr=0.00020000 loss_nats_per_target=2.9372 bpb=0.9253 grad_norm=0.7188 tokens_cum=103017600/120000000
update [6400/7339] lr=0.00020000 loss_nats_per_target=2.8895 bpb=0.8540 grad_norm=0.7208 tokens_cum=104652800/120000000
update [6500/7339] lr=0.00020000 loss_nats_per_target=2.9841 bpb=0.9109 grad_norm=0.7233 tokens_cum=106288000/120000000
update [6600/7339] lr=0.00020000 loss_nats_per_target=2.9978 bpb=0.8900 grad_norm=0.7189 tokens_cum=107923200/120000000
update [6700/7339] lr=0.00019294 loss_nats_per_target=2.9950 bpb=0.8952 grad_norm=0.7166 tokens_cum=109558400/120000000
update [6800/7339] lr=0.00017093 loss_nats_per_target=2.9041 bpb=0.9104 grad_norm=0.7059 tokens_cum=111193600/120000000
update [6900/7339] lr=0.00013788 loss_nats_per_target=2.9369 bpb=1.0002 grad_norm=0.7166 tokens_cum=112828800/120000000
update [7000/7339] lr=0.00009980 loss_nats_per_target=2.8673 bpb=0.8525 grad_norm=0.6703 tokens_cum=114464000/120000000
update [7100/7339] lr=0.00006356 loss_nats_per_target=2.8879 bpb=0.8710 grad_norm=0.6837 tokens_cum=116099200/120000000
update [7200/7339] lr=0.00003572 loss_nats_per_target=2.9131 bpb=0.8838 grad_norm=0.6908 tokens_cum=117734400/120000000
update [7300/7339] lr=0.00002132 loss_nats_per_target=2.7447 bpb=0.8395 grad_norm=0.6820 tokens_cum=119369600/120000000
update [7339/7339] lr=0.00002000 loss_nats_per_target=2.6986 bpb=0.8148 grad_norm=0.6989 tokens_cum=120007328/120000000
